,result,table,_start,_stop,date,Value (psi),_field,_measurement,wellname
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T09:27:20Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T09:29:12Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T09:34:39Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T09:45:03Z,40,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T09:46:00Z,50,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T09:46:13Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T09:47:09Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T09:51:22Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:03:45Z,40,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:04:08Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:04:09Z,50,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:05:04Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:12:17Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:20:49Z,40,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:21:26Z,50,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:21:41Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:22:33Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:27:03Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:38:34Z,40,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:39:18Z,50,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:39:29Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:40:25Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:45:23Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:57:37Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T10:58:30Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:04:12Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:15:19Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:16:13Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:19:43Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:33:21Z,40,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:33:57Z,50,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:34:06Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:34:58Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:40:28Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:50:25Z,40,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:51:49Z,50,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:52:06Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T11:53:02Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:00:48Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:08:32Z,40,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:09:22Z,50,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:09:25Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:10:15Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:14:53Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:26:41Z,40,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:28:01Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:28:08Z,50,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:28:59Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:33:39Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:45:49Z,50,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:45:51Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:45:53Z,40,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:46:43Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T12:53:46Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T13:01:58Z,40,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T13:02:51Z,50,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T13:02:58Z,10,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T13:03:48Z,30,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T13:08:41Z,20,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T13:20:01Z,40,Mode,eventMode,101
,,0,2022-09-10T09:18:44.609025947Z,2022-09-10T15:18:44.609025947Z,2022-09-10T13:20:23Z,50,Mode,eventMode,101
