,result,table,_start,_stop,date,Value (psi),_field,_measurement,wellname
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:43Z,152.191,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:44Z,151.917,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:45Z,151.825,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:46Z,152.069,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:47Z,151.917,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:48Z,151.825,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:49Z,151.917,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:50Z,151.733,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:51Z,151.672,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:52Z,151.55,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:53Z,151.672,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:54Z,151.52,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:55Z,151.215,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:56Z,151.062,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:57Z,151.367,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:58Z,151.215,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:19:59Z,151.184,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:00Z,151.031,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:01Z,151.031,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:02Z,151.123,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:03Z,151.184,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:04Z,151.123,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:09Z,151.245,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:10Z,151.276,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:11Z,150.94,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:12Z,151.245,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:13Z,151.306,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:14Z,151.306,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:15Z,151.031,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:16Z,151.031,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:17Z,151.154,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:18Z,151.184,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:19Z,151.154,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:20Z,150.879,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:21Z,151.093,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:22Z,151.093,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:23Z,150.879,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:24Z,151.093,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:25Z,151.093,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:26Z,151.093,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:27Z,151.245,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:28Z,150.94,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:29Z,151.154,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:30Z,151.093,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:31Z,151.031,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:32Z,150.94,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:33Z,150.787,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:34Z,150.94,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:35Z,151.001,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:36Z,150.879,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:37Z,150.879,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:38Z,150.879,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:39Z,150.848,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:40Z,150.848,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:41Z,150.726,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:42Z,150.787,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:43Z,150.726,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:44Z,150.482,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:45Z,150.726,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:46Z,150.482,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:47Z,150.543,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:48Z,150.482,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:49Z,150.696,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:50Z,150.421,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:51Z,150.574,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:52Z,150.452,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:53Z,150.482,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:54Z,150.482,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:55Z,150.482,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:56Z,150.391,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:57Z,150.33,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:58Z,150.33,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:20:59Z,150.33,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:21:00Z,150.269,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:21:01Z,150.269,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:21:02Z,150.33,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:21:03Z,150.177,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:21:04Z,150.269,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:21:05Z,150.238,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:21:06Z,150.085,Tubing Pressure,sensors,101
,,0,2022-09-11T20:19:41.165449095Z,2022-09-11T23:19:41.165449095Z,2022-09-11T20:21:07Z,149.933,Tubing Pressure,sensors,101
