,result,table,_start,_stop,date,Value (psi),_field,_measurement,wellname
,,0,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T12:26:45Z,10,Mode,eventMode,131
,,0,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T13:17:14Z,30,Mode,eventMode,131
,,0,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T13:18:16Z,20,Mode,eventMode,131
,,0,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T13:35:14Z,40,Mode,eventMode,131
,,0,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T13:37:25Z,50,Mode,eventMode,131
,,0,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T14:00:01Z,10,Mode,eventMode,131
,,0,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T14:00:48Z,30,Mode,eventMode,131
,,0,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T14:02:04Z,20,Mode,eventMode,131
,,0,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T14:22:13Z,40,Mode,eventMode,131
,,0,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T14:24:28Z,50,Mode,eventMode,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:30Z,140.106,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:31Z,139.954,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:32Z,140.045,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:33Z,140.259,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:34Z,140.106,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:35Z,140.015,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:36Z,139.801,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:37Z,139.893,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:38Z,139.74,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:39Z,140.106,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:40Z,140.137,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:41Z,139.954,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:42Z,139.801,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:43Z,139.862,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:44Z,140.015,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:45Z,139.801,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:46Z,139.679,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:47Z,139.862,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:48Z,139.648,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:49Z,139.862,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:50Z,139.954,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:51Z,139.679,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:52Z,139.557,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:53Z,139.557,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:54Z,139.557,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:55Z,139.587,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:56Z,139.74,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:57Z,139.587,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:58Z,139.557,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:45:59Z,139.404,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:00Z,139.496,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:05Z,139.893,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:06Z,139.862,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:07Z,140.137,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:08Z,140.35,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:09Z,140.442,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:10Z,140.137,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:11Z,140.198,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:12Z,140.35,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:13Z,140.503,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:14Z,140.35,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:15Z,140.411,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:16Z,140.259,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:17Z,140.442,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:18Z,140.564,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:19Z,140.656,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:20Z,140.564,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:21Z,140.442,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:22Z,140.289,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:23Z,140.259,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:24Z,140.411,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:25Z,140.717,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:26Z,140.564,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:27Z,140.503,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:28Z,140.411,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:29Z,140.198,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:30Z,140.198,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:31Z,140.594,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:32Z,140.564,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:33Z,140.198,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:34Z,140.198,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:35Z,139.801,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:40Z,140.015,Tubing Pressure,sensors,131
,,1,2022-10-17T11:39:42.635046719Z,2022-10-17T14:39:42.635046719Z,2022-10-17T11:46:41Z,139.832,Tubing Pressure,sensors,131
