Date UTC,Time UTC,Date Local (America/Los_Angeles),Time Local (America/Los_Angeles),Value (psi)
2020-03-25,19:07:16,2020-03-25,12:07:16,129.62602654373583
2020-03-25,19:07:17,2020-03-25,12:07:17,129.45778666271227
2020-03-25,19:07:18,2020-03-25,12:07:18,129.3156436598396
2020-03-25,19:07:19,2020-03-25,12:07:19,129.16046107029248
2020-03-25,19:07:20,2020-03-25,12:07:20,129.011067951
2020-03-25,19:07:21,2020-03-25,12:07:21,128.87908750447644
2020-03-25,19:07:22,2020-03-25,12:07:22,128.72534785629247
2020-03-25,19:07:23,2020-03-25,12:07:23,128.59190676360376
2020-03-25,19:07:24,2020-03-25,12:07:24,128.49037857652357
2020-03-25,19:07:25,2020-03-25,12:07:25,128.36419645265565
2020-03-25,19:07:26,2020-03-25,12:07:26,128.2423697100802
2020-03-25,19:07:27,2020-03-25,12:07:27,128.13213961281605
2020-03-25,19:07:28,2020-03-25,12:07:28,127.99870737252832
2020-03-25,19:07:29,2020-03-25,12:07:29,127.90442930186792
2020-03-25,19:07:30,2020-03-25,12:07:30,127.76518988652356
2020-03-25,19:07:31,2020-03-25,12:07:31,127.66511349320751
2020-03-25,19:07:32,2020-03-25,12:07:32,127.55633518970753
2020-03-25,19:07:33,2020-03-25,12:07:33,127.4664125003396
2020-03-25,19:07:34,2020-03-25,12:07:34,127.35328766794812
2020-03-25,19:07:35,2020-03-25,12:07:35,127.23725924802832
2020-03-25,19:07:36,2020-03-25,12:07:36,127.17778881810376
2020-03-25,19:07:37,2020-03-25,12:07:37,127.05741386929247
2020-03-25,19:07:38,2020-03-25,12:07:38,126.96168400486792
2020-03-25,19:07:39,2020-03-25,12:07:39,126.86885772797167
2020-03-25,19:07:40,2020-03-25,12:07:40,126.8064925629198
2020-03-25,19:07:41,2020-03-25,12:07:41,126.70352143447644
2020-03-25,19:07:42,2020-03-25,12:07:42,126.58604122079248
2020-03-25,19:07:43,2020-03-25,12:07:43,126.50771517673584
2020-03-25,19:07:44,2020-03-25,12:07:44,126.44825359921228
2020-03-25,19:07:45,2020-03-25,12:07:45,126.33222517929248
2020-03-25,19:07:46,2020-03-25,12:07:46,126.25389913523584
2020-03-25,19:07:47,2020-03-25,12:07:47,126.2118413780802
2020-03-25,19:07:48,2020-03-25,12:07:48,126.09436116439623
2020-03-25,19:07:49,2020-03-25,12:07:49,126.03634252823583
2020-03-25,19:07:50,2020-03-25,12:07:50,125.94496804510376
2020-03-25,19:07:51,2020-03-25,12:07:51,125.8637472659198
2020-03-25,19:07:52,2020-03-25,12:07:52,125.78252648673583
2020-03-25,19:07:53,2020-03-25,12:07:53,125.69405559113208
2020-03-25,19:07:54,2020-03-25,12:07:54,125.6244403096604
2020-03-25,19:07:55,2020-03-25,12:07:55,125.54176773671227
2020-03-25,19:07:56,2020-03-25,12:07:56,125.47504719036792
2020-03-25,19:07:57,2020-03-25,12:07:57,125.39818179247644
2020-03-25,19:07:58,2020-03-25,12:07:58,125.35322044779248
2020-03-25,19:07:59,2020-03-25,12:07:59,125.2545869958396
2020-03-25,19:08:00,2020-03-25,12:08:00,125.21252923868396
2020-03-25,19:08:01,2020-03-25,12:08:01,125.14001036968396
2020-03-25,19:08:02,2020-03-25,12:08:02,125.06314497179248
2020-03-25,19:08:03,2020-03-25,12:08:03,124.9935208379198
2020-03-25,19:08:04,2020-03-25,12:08:04,124.950011287
2020-03-25,19:08:05,2020-03-25,12:08:05,124.85863680386792
2020-03-25,19:08:06,2020-03-25,12:08:06,124.82092557560377
2020-03-25,19:08:07,2020-03-25,12:08:07,124.75856041055188
2020-03-25,19:08:08,2020-03-25,12:08:08,124.69474345173585
2020-03-25,19:08:09,2020-03-25,12:08:09,124.61497446631604
2020-03-25,19:08:10,2020-03-25,12:08:10,124.57871503181605
2020-03-25,19:08:11,2020-03-25,12:08:11,124.51780166052832
2020-03-25,19:08:12,2020-03-25,12:08:12,124.45978302436792
2020-03-25,19:08:13,2020-03-25,12:08:13,124.4278789711604
2020-03-25,19:08:14,2020-03-25,12:08:14,124.36695674747168
2020-03-25,19:08:15,2020-03-25,12:08:15,124.3263507840802
2020-03-25,19:08:16,2020-03-25,12:08:16,124.26833214791979
2020-03-25,19:08:17,2020-03-25,12:08:17,124.19436148515564
2020-03-25,19:08:18,2020-03-25,12:08:18,124.14940014047168
2020-03-25,19:08:19,2020-03-25,12:08:19,124.07833306523584
2020-03-25,19:08:20,2020-03-25,12:08:20,124.04932374715564
2020-03-25,19:08:21,2020-03-25,12:08:21,123.9855067883396
2020-03-25,19:08:22,2020-03-25,12:08:22,123.94344903118396
2020-03-25,19:08:23,2020-03-25,12:08:23,123.87528554347644
2020-03-25,19:08:24,2020-03-25,12:08:24,123.83467072768396
2020-03-25,19:08:25,2020-03-25,12:08:25,123.7824592665802
2020-03-25,19:08:26,2020-03-25,12:08:26,123.74909456720752
2020-03-25,19:08:27,2020-03-25,12:08:27,123.74474803831603
2020-03-25,19:08:28,2020-03-25,12:08:28,123.7389497156604
2020-03-25,19:08:29,2020-03-25,12:08:29,123.7389497156604
2020-03-25,19:08:30,2020-03-25,12:08:30,123.75054636097168
2020-03-25,19:08:31,2020-03-25,12:08:31,123.717190514
2020-03-25,19:08:32,2020-03-25,12:08:32,123.70413322252355
2020-03-25,19:08:33,2020-03-25,12:08:33,123.69688310610375
2020-03-25,19:08:34,2020-03-25,12:08:34,123.6881811959198
2020-03-25,19:08:35,2020-03-25,12:08:35,123.65482534894812
2020-03-25,19:08:36,2020-03-25,12:08:36,123.65337355518396
2020-03-25,19:08:37,2020-03-25,12:08:37,123.62871961839625
2020-03-25,19:08:38,2020-03-25,12:08:38,123.63596973481604
2020-03-25,19:08:39,2020-03-25,12:08:39,123.5939119776604
2020-03-25,19:08:40,2020-03-25,12:08:40,123.56924918847167
2020-03-25,19:08:41,2020-03-25,12:08:41,123.57505636352832
2020-03-25,19:08:42,2020-03-25,12:08:42,123.53298975397168
2020-03-25,19:08:43,2020-03-25,12:08:43,123.56199907205188
2020-03-25,19:08:44,2020-03-25,12:08:44,123.52428784378772
2020-03-25,19:08:45,2020-03-25,12:08:45,123.52283605002356
2020-03-25,19:08:46,2020-03-25,12:08:46,123.51123940471228
2020-03-25,19:08:47,2020-03-25,12:08:47,123.51848952113208
