#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,wellname
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:37Z,120.381,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:38Z,120.483,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:39Z,120.533,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:40Z,120.686,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:41Z,120.635,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:42Z,120.533,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:43Z,120.686,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:44Z,120.787,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:45Z,120.838,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:46Z,120.787,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:47Z,120.838,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:48Z,120.686,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:49Z,120.787,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:50Z,120.686,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:51Z,120.838,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:52Z,120.686,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:53Z,120.737,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:54Z,120.838,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:55Z,120.94,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:56Z,120.838,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:57Z,120.94,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:58Z,120.838,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:35:59Z,120.787,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:00Z,120.787,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:01Z,120.635,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:02Z,120.635,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:03Z,120.889,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:04Z,120.889,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:05Z,120.787,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:06Z,120.787,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:07Z,120.737,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:08Z,120.787,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:09Z,120.838,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:10Z,120.838,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:11Z,120.838,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:12Z,120.787,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:13Z,120.584,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:14Z,120.533,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:15Z,120.584,Tubing Pressure,sensors,401
,,0,2023-03-17T08:35:36Z,2023-03-17T11:05:36Z,2023-03-17T08:36:16Z,120.838,Tubing Pressure,sensors,401
