#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,last,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,wellname
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:24:11Z,7.103113531431278,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:24:19Z,7.104795737122558,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:24:21Z,7.104795932769775,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:24:27Z,7.116593523899894,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:24:32Z,7.116593360900879,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:24:36Z,7.119126720455624,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:24:42Z,7.119126796722412,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:24:44Z,7.121661721068248,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:24:52Z,7.12166166305542,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:24:53Z,7.123352724682417,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:25:01Z,7.122507122507123,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:25:09Z,7.1199715201139195,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:25:18Z,7.120816520294327,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:25:23Z,11.063986723215931,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:25:29Z,9.91899487518598,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:25:31Z,9.918994903564453,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:25:34Z,12.091898428053206,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:25:38Z,12.091897964477539,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:25:48Z,12.091897964477539,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:26:09Z,0,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:26:19Z,0,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:26:29Z,0,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:26:40Z,0,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:26:50Z,0,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:27:11Z,0,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:27:22Z,0,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:27:32Z,0,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:27:42Z,0,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:27:53Z,0,SPM,sensors,6
,,0,2024-03-06T00:24:04.141760467Z,2024-03-07T00:24:04.141760467Z,2024-03-06T00:28:32Z,0,SPM,sensors,6
