Time,FileName,Type,Date,DropTime
0:49:51,c151a,C,10/20/22,0:23:53
2:16:08,c151a,C,10/20/22,1:50:31
3:59:54,c151a,C,10/20/22,3:33:49
5:22:48,c151a,C,10/20/22,4:57:45
10:21:58,c151b,C,10/22/22,9:55:59
11:47:30,c151b,C,10/22/22,11:22:27
13:20:30,c151b,C,10/22/22,12:55:04
14:40:59,c151b,C,10/22/22,14:15:50
15:59:12,c151b,C,10/22/22,15:34:13
17:16:28,c151b,C,10/22/22,16:51:14
18:33:18,c151b,C,10/22/22,18:07:49
19:50:42,c151b,C,10/22/22,19:25:55
21:09:03,c151b,C,10/22/22,20:43:30
19:29:06,c141a,C,10/17/22,19:04:28
20:24:46,c141a,C,10/17/22,20:00:00
21:31:50,c141a,C,10/17/22,21:07:26
22:39:19,c141a,C,10/17/22,22:14:31
