Date UTC,Time UTC,Date Local (America/Los_Angeles),Time Local (America/Los_Angeles),Value (psi)
2019-12-16,03:17:06,2019-12-15,19:17:06,121.70986432502356
2019-12-16,03:17:07,2019-12-15,19:17:07,121.69826767971227
2019-12-16,03:17:08,2019-12-15,19:17:08,121.6213934294198
2019-12-16,03:17:09,2019-12-15,19:17:09,122.30887089115564
2019-12-16,03:17:10,2019-12-15,19:17:10,122.56268693265564
2019-12-16,03:17:11,2019-12-15,19:17:11,122.5133790590802
2019-12-16,03:17:12,2019-12-15,19:17:12,122.80780106397168
2019-12-16,03:17:13,2019-12-15,19:17:13,122.78459892094811
2019-12-16,03:17:14,2019-12-15,19:17:14,122.63956118294811
2019-12-16,03:17:15,2019-12-15,19:17:15,122.60764827733959
2019-12-16,03:17:16,2019-12-15,19:17:16,123.08482810089625
2019-12-16,03:17:17,2019-12-15,19:17:17,122.86436790636792
2019-12-16,03:17:18,2019-12-15,19:17:18,123.20376010834435
2019-12-16,03:17:19,2019-12-15,19:17:19,123.28062550623584
2019-12-16,03:17:20,2019-12-15,19:17:20,123.4416152708396
2019-12-16,03:17:21,2019-12-15,19:17:21,123.49818211323584
2019-12-16,03:17:22,2019-12-15,19:17:22,123.79550770565564
2019-12-16,03:17:23,2019-12-15,19:17:23,124.17550587102356
2019-12-16,03:17:24,2019-12-15,19:17:24,124.369860335
2019-12-16,03:17:25,2019-12-15,19:17:25,124.79627163881604
2019-12-16,03:17:26,2019-12-15,19:17:26,125.6244403096604
2019-12-16,03:17:27,2019-12-15,19:17:27,125.79993030710376
2019-12-16,03:17:28,2019-12-15,19:17:28,126.62664718418397
2019-12-16,03:17:29,2019-12-15,19:17:29,127.4954218184198
2019-12-16,03:17:30,2019-12-15,19:17:30,127.73908415597168
2019-12-16,03:17:31,2019-12-15,19:17:31,128.2467162389717
2019-12-16,03:17:32,2019-12-15,19:17:32,129.2402300557123
2019-12-16,03:17:33,2019-12-15,19:17:33,130.57602195715563
2019-12-16,03:17:34,2019-12-15,19:17:34,132.8110584570802
2019-12-16,03:17:35,2019-12-15,19:17:35,132.1946480705802
2019-12-16,03:17:36,2019-12-15,19:17:36,132.49487725052833
2019-12-16,03:17:37,2019-12-15,19:17:37,132.90388473397644
2019-12-16,03:17:38,2019-12-15,19:17:38,132.91838496681603
2019-12-16,03:17:39,2019-12-15,19:17:39,133.29403660329248
2019-12-16,03:17:40,2019-12-15,19:17:40,133.37525738247643
2019-12-16,03:17:41,2019-12-15,19:17:41,133.3143351587877
2019-12-16,03:17:42,2019-12-15,19:17:42,133.4666230132075
2019-12-16,03:17:43,2019-12-15,19:17:43,133.44632445771228
2019-12-16,03:17:44,2019-12-15,19:17:44,133.5942569308396
2019-12-16,03:17:45,2019-12-15,19:17:45,133.63196815910376
2019-12-16,03:17:46,2019-12-15,19:17:46,133.4956323312877
2019-12-16,03:17:47,2019-12-15,19:17:47,133.5652564651604
2019-12-16,03:17:48,2019-12-15,19:17:48,133.50578603523584
2019-12-16,03:17:49,2019-12-15,19:17:49,133.44487266394813
2019-12-16,03:17:50,2019-12-15,19:17:50,133.27372919539624
2019-12-16,03:17:51,2019-12-15,19:17:51,133.02716327031604
2019-12-16,03:17:52,2019-12-15,19:17:52,132.96770169279247
2019-12-16,03:17:53,2019-12-15,19:17:53,132.9053276753396
2019-12-16,03:17:54,2019-12-15,19:17:54,132.8647217119481
2019-12-16,03:17:55,2019-12-15,19:17:55,132.77334722881605
2019-12-16,03:17:56,2019-12-15,19:17:56,132.6080020829198
2019-12-16,03:17:57,2019-12-15,19:17:57,132.46006960979247
2019-12-16,03:17:58,2019-12-15,19:17:58,132.37013806802355
2019-12-16,03:17:59,2019-12-15,19:17:59,132.0931198835
2019-12-16,03:18:00,2019-12-15,19:18:00,131.9045725945802
2019-12-16,03:18:01,2019-12-15,19:18:01,131.6870159875802
2019-12-16,03:18:02,2019-12-15,19:18:02,131.62319902876416
2019-12-16,03:18:03,2019-12-15,19:18:03,131.4477001789198
2019-12-16,03:18:04,2019-12-15,19:18:04,131.21273975155188
2019-12-16,03:18:05,2019-12-15,19:18:05,130.9980867320802
2019-12-16,03:18:06,2019-12-15,19:18:06,130.8095394431604
2019-12-16,03:18:07,2019-12-15,19:18:07,130.59342577752355
2019-12-16,03:18:08,2019-12-15,19:18:08,130.35121523373584
2019-12-16,03:18:09,2019-12-15,19:18:09,130.15106244710375
2019-12-16,03:18:10,2019-12-15,19:18:10,130.01763020681605
2019-12-16,03:18:11,2019-12-15,19:18:11,129.82617933036792
