#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,last,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,wellname
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:26:15Z,10.397,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:26:26Z,10.396,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:26:36Z,10.478,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:26:47Z,10.435,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:26:57Z,10.428,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:27:07Z,10.43,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:27:18Z,10.42,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:27:28Z,10.423,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:27:39Z,10.423,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:27:49Z,10.435,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:28:00Z,10.429,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:28:10Z,10.428,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:28:20Z,10.431,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:28:31Z,10.412,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:28:41Z,10.396,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:28:52Z,10.389,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:29:02Z,10.387,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:29:12Z,10.385,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:29:23Z,10.385,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:29:33Z,10.381,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:29:43Z,10.382,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:29:54Z,10.382,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:30:04Z,10.38,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:30:15Z,10.381,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:30:25Z,10.382,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:30:35Z,10.383,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:30:46Z,10.385,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:30:56Z,10.384,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:31:06Z,10.381,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:31:17Z,10.382,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:31:27Z,10.379,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:31:38Z,10.379,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:31:48Z,10.38,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:31:58Z,10.38,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:32:09Z,10.38,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:32:19Z,10.38,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:32:29Z,10.375,Stroke Period,sensors,9
,,0,2023-12-09T16:26:05.341861882Z,2023-12-11T16:26:05.341861882Z,2023-12-09T16:32:40Z,10.375,Stroke Period,sensors,9
