,result,table,_start,_stop,date,Value (psi),field,_measurement,wellname
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T17:59:00Z,180.4937317073171,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:00:00Z,177.2201481481481,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:01:00Z,176.62338596491222,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:02:00Z,178.10343396226418,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:03:00Z,176.36279629629624,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:04:00Z,176.28992592592593,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:05:00Z,229.40989285714278,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:06:00Z,269.8929074074074,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:07:00Z,178.23820754716982,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:08:00Z,171.24540740740747,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:09:00Z,172.4853333333334,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:10:00Z,171.04223076923074,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:11:00Z,172.54688888888884,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:12:00Z,169.98635185185177,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:13:00Z,166.84649122807014,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:14:00Z,165.8469245283019,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:15:00Z,164.91362962962964,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:16:00Z,163.82568518518516,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:17:00Z,162.39217857142856,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:18:00Z,161.40235185185188,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:19:00Z,160.8247777777778,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:20:00Z,160.0640188679245,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:21:00Z,159.1705964912281,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:22:00Z,159.13333333333335,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:23:00Z,160.62529629629628,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:24:00Z,165.5964339622641,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:25:00Z,169.2081754385965,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:26:00Z,177.4015849056604,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:27:00Z,181.77362264150946,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:28:00Z,186.40305555555557,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:29:00Z,198.81392982456137,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:30:00Z,200.0116226415094,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:31:00Z,207.23692592592585,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:32:00Z,214.83129629629622,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:33:00Z,234.53466071428574,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:34:00Z,280.67644444444437,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:35:00Z,361.8192037037035,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:36:00Z,265.10501886792446,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:37:00Z,228.2443035714285,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:38:00Z,206.98435185185178,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:39:00Z,195.05537037037044,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:40:00Z,187.23860377358494,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:41:00Z,181.8886363636363,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:42:00Z,178.09379629629632,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:43:00Z,175.2420185185185,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:44:00Z,172.8662962962962,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:45:00Z,170.96167272727268,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:46:00Z,184.45045454545462,Tubing Pressure,sensors,102
,,0,2022-09-07T17:58:14.409051915Z,2022-09-07T23:58:14.409051915Z,2022-09-07T18:47:00Z,198.3495370370371,Tubing Pressure,sensors,102
